URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
114616,846,6006,Independent school,672,672,0,100.00,0.00,0,0.00,67,9.97,0,0,0,0.00,0,0,0
114618,846,6013,Independent school,171,73,98,42.69,57.31,1,0.58,18,10.53,0,0,0,0.00,0,0,0
114619,846,7003,Non-maintained special school,39,15,24,38.46,61.54,39,100.00,0,0.00,39,0,0,100.00,0,0,11,12,21,57.14
114621,846,6015,Independent school,517,245,272,47.39,52.61,0,0.00,62,11.99,0,0,0,0.00,0,0,0
114622,845,6018,Independent school,619,297,322,47.98,52.02,0,0.00,25,4.04,0,0,0,0.00,0,0,0
114623,938,6019,Independent school,376,172,204,45.74,54.26,0,0.00,76,20.21,0,0,0,0.00,0,0,0
114625,845,6037,Independent school,393,204,189,51.91,48.09,0,0.00,0,0.00,0,0,0,0.00,0,0,0
114626,846,6000,Independent school,284,106,178,37.32,62.68,0,0.00,44,15.49,0,0,0,0.00,0,0,0
114627,845,6035,Independent school,411,411,0,100.00,0.00,1,0.24,119,28.95,0,0,0,0.00,0,0,0
114629,845,6004,Independent school,182,90,92,49.45,50.55,0,0.00,47,25.82,0,0,0,0.00,0,0,0
114633,845,6038,Independent school,206,102,104,49.51,50.49,1,0.49,16,7.77,0,0,0,0.00,0,0,0
114634,845,6032,Independent school,681,287,394,42.14,57.86,1,0.15,60,8.81,0,0,0,0.00,0,0,0
114635,845,6002,Independent school,139,29,110,20.86,79.14,107,76.98,32,23.02,0,0,0,0.00,0,0,0
114636,845,6020,Independent school,142,83,59,58.45,41.55,2,1.41,35,24.65,0,0,0,0.00,0,0,0
114639,846,6011,Independent school,291,120,171,41.24,58.76,0,0.00,69,23.71,0,0,0,0.00,0,0,0
114640,845,6010,Independent school,604,252,352,41.72,58.28,10,1.66,36,5.96,0,0,0,0.00,0,0,0
114641,846,6007,Independent school,122,71,51,58.20,41.80,0,0.00,4,3.28,0,0,0,0.00,0,0,0
114645,845,6028,Independent school,110,30,80,27.27,72.73,108,98.18,2,1.82,0,0,0,0.00,0,0,0
114646,845,6003,Independent school,53,25,28,47.17,52.83,0,0.00,1,1.89,0,0,0,0.00,0,0,0
114650,845,6014,Independent school,639,266,373,41.63,58.37,0,0.00,198,30.99,0,0,0,0.00,0,0,0
114652,845,6016,Independent school,374,167,207,44.65,55.35,0,0.00,35,9.36,0,0,0,0.00,0,0,0
114653,845,6011,Independent school,348,160,188,45.98,54.02,0,0.00,82,23.56,0,0,0,0.00,0,0,0
114656,845,6031,Independent school,294,110,184,37.41,62.59,0,0.00,36,12.24,0,0,0,0.00,0,0,0
114657,845,6006,Independent school,808,327,481,40.47,59.53,3,0.37,380,47.03,0,0,0,0.00,0,0,0
114658,846,6014,Independent school,411,411,0,100.00,0.00,1,0.24,118,28.71,0,0,0,0.00,0,0,0
114659,845,6017,Independent school,147,59,88,40.14,59.86,0,0.00,5,3.40,0,0,0,0.00,0,0,0
114660,845,6007,Independent school,10,0,10,0.00,100.00,10,100.00,0,0.00,0,0,0,0.00,0,0,0
114661,846,6016,Independent school,158,83,75,52.53,47.47,3,1.90,25,15.82,0,0,0,0.00,0,0,0
114677,845,7002,Non-maintained special school,32,7,25,21.88,78.13,32,100.00,0,0.00,1,31,0,3.10,96.9,0,12,12,25,48.00
114678,846,7004,State-funded special school,45,6,39,13.33,86.67,45,100.00,0,0.00,2,43,0,4.40,95.6,0,29,31,45,68.89
114680,846,7006,State-funded special school,201,59,142,29.35,70.65,201,100.00,0,0.00,25,175,1,12.40,87.1,0.5,109,96,161,59.63
114682,845,7012,Non-maintained special school,85,33,52,38.82,61.18,85,100.00,0,0.00,0,85,0,0.00,100,0,11,14,58,24.14
114687,846,7018,State-funded special school,199,54,145,27.14,72.86,199,100.00,0,0.00,24,175,0,12.10,87.9,0,78,81,199,40.70
114688,845,7021,State-funded special school,131,41,90,31.30,68.70,131,100.00,0,0.00,11,120,0,8.40,91.6,0,35,30,107,28.04
114698,881,1000,State-funded nursery,190,88,102,46.32,53.68,2,1.05,31,16.32,27,163,0,14.20,85.8,0,0
114699,881,1001,State-funded nursery,118,44,74,37.29,62.71,0,0.00,26,22.03,16,101,1,13.60,85.6,0.8,0
114704,881,2001,State-funded primary,598,291,307,48.66,51.34,11,1.84,78,13.04,94,504,0,15.70,84.3,0,214,230,572,40.21
114706,881,2003,State-funded primary,422,204,218,48.34,51.66,7,1.66,31,7.35,29,392,1,6.90,92.9,0.2,32,41,422,9.72
114707,881,2006,State-funded primary,241,136,105,56.43,43.57,16,6.64,24,9.96,20,221,0,8.30,91.7,0,43,51,209,24.40
114708,881,2007,State-funded primary,306,155,151,50.65,49.35,3,0.98,27,8.82,46,260,0,15.00,85,0,48,51,306,16.67
114709,881,2008,State-funded primary,451,222,229,49.22,50.78,14,3.10,47,10.42,130,321,0,28.80,71.2,0,88,95,413,23.00
114710,881,2010,State-funded primary,209,115,94,55.02,44.98,2,0.96,18,8.61,25,180,4,12.00,86.1,1.9,31,35,209,16.75
114711,881,2011,State-funded primary,628,306,322,48.73,51.27,14,2.23,48,7.64,102,526,0,16.20,83.8,0,126,153,628,24.36
114717,881,2017,State-funded primary,169,71,98,42.01,57.99,3,1.78,18,10.65,24,145,0,14.20,85.8,0,37,37,136,27.21
114718,882,2019,State-funded primary,476,240,236,50.42,49.58,12,2.52,33,6.93,23,453,0,4.80,95.2,0,63,70,476,14.71
114719,882,2022,State-funded primary,360,188,172,52.22,47.78,2,0.56,14,3.89,26,334,0,7.20,92.8,0,34,36,360,10.00
114720,882,2023,State-funded primary,630,304,326,48.25,51.75,18,2.86,56,8.89,157,473,0,24.90,75.1,0,68,70,630,11.11
114722,881,2027,State-funded primary,298,151,147,50.67,49.33,2,0.67,26,8.72,9,289,0,3.00,97,0,156,157,265,59.25
114723,881,2028,State-funded primary,209,100,109,47.85,52.15,5,2.39,15,7.18,10,199,0,4.80,95.2,0,36,45,209,21.53
114729,881,2038,State-funded primary,133,71,62,53.38,46.62,3,2.26,15,11.28,1,132,0,0.80,99.2,0,9,9,133,6.77
114730,881,2039,State-funded primary,107,47,60,43.93,56.07,3,2.80,12,11.21,3,104,0,2.80,97.2,0,5,5,107,4.67
114732,881,2041,State-funded primary,387,180,207,46.51,53.49,6,1.55,34,8.79,13,374,0,3.40,96.6,0,30,34,387,8.79
114734,881,2043,State-funded primary,219,110,109,50.23,49.77,1,0.46,31,14.16,2,217,0,0.90,99.1,0,33,36,219,16.44
114735,881,2044,State-funded primary,114,66,48,57.89,42.11,1,0.88,11,9.65,0,114,0,0.00,100,0,12,12,114,10.53
114736,881,2045,State-funded primary,210,97,113,46.19,53.81,5,2.38,30,14.29,3,206,1,1.40,98.1,0.5,17,19,210,9.05
114738,881,2050,State-funded primary,181,84,97,46.41,53.59,2,1.10,36,19.89,1,180,0,0.60,99.4,0,22,23,181,12.71
114739,881,2051,State-funded primary,117,54,63,46.15,53.85,4,3.42,20,17.09,1,116,0,0.90,99.1,0,12,14,117,11.97
114742,881,2054,State-funded primary,299,151,148,50.50,49.50,3,1.00,37,12.37,16,283,0,5.40,94.6,0,46,62,299,20.74
114743,881,2055,State-funded primary,259,133,126,51.35,48.65,5,1.93,39,15.06,30,229,0,11.60,88.4,0,30,45,259,17.37
114744,881,2056,State-funded primary,156,87,69,55.77,44.23,1,0.64,20,12.82,22,134,0,14.10,85.9,0,16,16,156,10.26
114745,881,2057,State-funded primary,220,114,106,51.82,48.18,5,2.27,47,21.36,33,187,0,15.00,85,0,120,126,220,57.27
114746,881,2058,State-funded primary,192,117,75,60.94,39.06,7,3.65,35,18.23,24,167,1,12.50,87,0.5,82,82,165,49.70
114747,881,2059,State-funded primary,343,158,185,46.06,53.94,7,2.04,49,14.29,23,320,0,6.70,93.3,0,150,163,343,47.52
114750,881,2062,State-funded primary,345,177,168,51.30,48.70,5,1.45,39,11.30,65,280,0,18.80,81.2,0,68,102,345,29.57
114751,881,2063,State-funded primary,294,150,144,51.02,48.98,3,1.02,23,7.82,36,258,0,12.20,87.8,0,43,50,258,19.38
114755,881,2068,State-funded primary,744,371,373,49.87,50.13,10,1.34,68,9.14,27,717,0,3.60,96.4,0,157,174,676,25.74
114756,881,2069,State-funded primary,167,66,101,39.52,60.48,3,1.80,32,19.16,11,156,0,6.60,93.4,0,29,30,167,17.96
114759,881,2073,State-funded primary,223,112,111,50.22,49.78,7,3.14,38,17.04,9,214,0,4.00,96,0,38,43,223,19.28
114760,881,2074,State-funded primary,187,98,89,52.41,47.59,3,1.60,26,13.90,1,186,0,0.50,99.5,0,33,35,187,18.72
114761,881,2075,State-funded primary,408,183,225,44.85,55.15,4,0.98,33,8.09,45,363,0,11.00,89,0,73,79,408,19.36
114764,881,2081,State-funded primary,491,221,270,45.01,54.99,8,1.63,73,14.87,38,453,0,7.70,92.3,0,94,100,491,20.37
114767,881,2088,State-funded primary,98,48,50,48.98,51.02,2,2.04,27,27.55,1,97,0,1.00,99,0,32,42,98,42.86
114769,881,2090,State-funded primary,319,170,149,53.29,46.71,8,2.51,35,10.97,6,313,0,1.90,98.1,0,24,27,319,8.46
114774,882,2096,State-funded primary,613,288,325,46.98,53.02,13,2.12,54,8.81,23,590,0,3.80,96.2,0,71,78,613,12.72
114780,882,2109,State-funded primary,357,166,191,46.50,53.50,6,1.68,18,5.04,21,336,0,5.90,94.1,0,17,17,357,4.76
114787,882,2124,State-funded primary,296,144,152,48.65,51.35,14,4.73,67,22.64,56,240,0,18.90,81.1,0,55,58,245,23.67
114789,882,2126,State-funded primary,397,207,190,52.14,47.86,11,2.77,40,10.08,13,384,0,3.30,96.7,0,41,44,397,11.08
114801,881,2181,State-funded primary,256,115,141,44.92,55.08,5,1.95,28,10.94,9,247,0,3.50,96.5,0,11,12,256,4.69
114805,881,2210,State-funded primary,317,142,175,44.79,55.21,16,5.05,41,12.93,49,266,2,15.50,83.9,0.6,82,88,317,27.76
114811,881,2261,State-funded primary,108,52,56,48.15,51.85,1,0.93,24,22.22,9,99,0,8.30,91.7,0,43,44,103,42.72
114813,881,2271,State-funded primary,524,266,258,50.76,49.24,13,2.48,47,8.97,7,517,0,1.30,98.7,0,85,102,524,19.47
114817,881,2297,State-funded primary,288,127,161,44.10,55.90,7,2.43,42,14.58,33,251,4,11.50,87.2,1.4,57,66,270,24.44
114818,881,2300,State-funded primary,539,253,286,46.94,53.06,17,3.15,120,22.26,70,469,0,13.00,87,0,198,214,502,42.63
114821,881,2310,State-funded primary,422,200,222,47.39,52.61,10,2.37,28,6.64,6,416,0,1.40,98.6,0,85,92,422,21.80
114822,881,2311,State-funded primary,240,136,104,56.67,43.33,5,2.08,26,10.83,7,233,0,2.90,97.1,0,49,76,240,31.67
114823,881,2317,State-funded primary,194,99,95,51.03,48.97,2,1.03,37,19.07,15,179,0,7.70,92.3,0,76,80,194,41.24
114827,881,2330,State-funded primary,420,204,216,48.57,51.43,11,2.62,23,5.48,41,379,0,9.80,90.2,0,54,58,420,13.81
114834,881,2374,State-funded primary,406,202,204,49.75,50.25,12,2.96,84,20.69,10,396,0,2.50,97.5,0,161,190,350,54.29
114835,881,2380,State-funded primary,134,69,65,51.49,48.51,4,2.99,15,11.19,1,132,1,0.70,98.5,0.7,11,13,134,9.70
114841,882,2407,State-funded primary,418,203,215,48.56,51.44,18,4.31,28,6.70,18,400,0,4.30,95.7,0,70,72,418,17.22
114843,881,2414,State-funded primary,229,126,103,55.02,44.98,4,1.75,39,17.03,8,221,0,3.50,96.5,0,114,116,204,56.86
114852,881,2450,State-funded primary,228,108,120,47.37,52.63,7,3.07,9,3.95,2,226,0,0.90,99.1,0,19,25,228,10.96
114856,881,2460,State-funded primary,142,56,86,39.44,60.56,4,2.82,23,16.20,0,142,0,0.00,100,0,9,11,142,7.75
114869,881,2500,State-funded primary,57,26,31,45.61,54.39,5,8.77,4,7.02,0,57,0,0.00,100,0,14,17,57,29.82
114875,881,2510,State-funded primary,233,111,122,47.64,52.36,5,2.15,20,8.58,1,232,0,0.40,99.6,0,20,21,233,9.01
114879,881,2521,State-funded primary,201,120,81,59.70,40.30,1,0.50,16,7.96,4,197,0,2.00,98,0,49,49,201,24.38
114884,881,2541,State-funded primary,184,86,98,46.74,53.26,2,1.09,15,8.15,3,181,0,1.60,98.4,0,3,3,184,1.63
114887,881,2549,State-funded primary,180,91,89,50.56,49.44,7,3.89,45,25.00,7,173,0,3.90,96.1,0,31,31,180,17.22
114888,881,2550,State-funded primary,176,85,91,48.30,51.70,7,3.98,21,11.93,6,170,0,3.40,96.6,0,21,28,176,15.91
114898,881,2579,State-funded primary,175,92,83,52.57,47.43,2,1.14,4,2.29,4,171,0,2.30,97.7,0,31,31,175,17.71
114902,881,2588,State-funded primary,402,205,197,51.00,49.00,10,2.49,56,13.93,25,377,0,6.20,93.8,0,25,30,402,7.46
114904,881,2590,State-funded primary,149,66,83,44.30,55.70,3,2.01,7,4.70,2,147,0,1.30,98.7,0,6,7,149,4.70
114909,881,2599,State-funded primary,133,69,64,51.88,48.12,3,2.26,7,5.26,1,131,1,0.80,98.5,0.8,13,14,133,10.53
114910,881,2601,State-funded primary,231,113,118,48.92,51.08,3,1.30,26,11.26,3,228,0,1.30,98.7,0,22,31,231,13.42
114912,881,2606,State-funded primary,641,316,325,49.30,50.70,10,1.56,82,12.79,47,590,4,7.30,92,0.6,201,224,606,36.96
114913,881,2609,State-funded primary,241,110,131,45.64,54.36,7,2.90,22,9.13,10,231,0,4.10,95.9,0,31,46,241,19.09
114914,881,2611,State-funded primary,584,271,313,46.40,53.60,33,5.65,71,12.16,150,433,1,25.70,74.1,0.2,197,204,560,36.43
114917,881,2619,State-funded primary,176,89,87,50.57,49.43,4,2.27,31,17.61,13,162,1,7.40,92,0.6,22,23,176,13.07
114921,881,2624,State-funded primary,157,69,88,43.95,56.05,17,10.83,19,12.10,5,152,0,3.20,96.8,0,18,20,157,12.74
114925,881,2630,State-funded primary,204,87,117,42.65,57.35,6,2.94,19,9.31,1,203,0,0.50,99.5,0,30,30,204,14.71
114929,881,2640,State-funded primary,169,84,85,49.70,50.30,1,0.59,17,10.06,4,165,0,2.40,97.6,0,13,15,169,8.88
114932,881,2647,State-funded primary,155,74,81,47.74,52.26,4,2.58,24,15.48,76,79,0,49.00,51,0,44,65,155,41.94
114933,881,2649,State-funded primary,420,199,221,47.38,52.62,5,1.19,50,11.90,11,409,0,2.60,97.4,0,53,56,420,13.33
114936,881,2656,State-funded primary,238,123,115,51.68,48.32,1,0.42,16,6.72,2,236,0,0.80,99.2,0,36,39,238,16.39
114937,881,2659,State-funded primary,223,108,115,48.43,51.57,5,2.24,38,17.04,6,217,0,2.70,97.3,0,31,35,223,15.70
114941,881,2669,State-funded primary,368,181,187,49.18,50.82,8,2.17,24,6.52,59,309,0,16.00,84,0,85,86,323,26.63
114942,881,2671,State-funded primary,178,85,93,47.75,52.25,3,1.69,10,5.62,13,165,0,7.30,92.7,0,18,18,178,10.11
114945,881,2680,State-funded primary,198,99,99,50.00,50.00,8,4.04,29,14.65,6,192,0,3.00,97,0,41,44,198,22.22
114946,881,2681,State-funded primary,238,121,117,50.84,49.16,15,6.30,40,16.81,8,230,0,3.40,96.6,0,37,47,238,19.75
114951,881,5276,State-funded primary,250,104,146,41.60,58.40,6,2.40,15,6.00,7,243,0,2.80,97.2,0,56,57,250,22.80
114964,881,2710,State-funded primary,66,32,34,48.48,51.52,1,1.52,7,10.61,2,64,0,3.00,97,0,2,5,66,7.58
114967,881,2720,State-funded primary,178,85,93,47.75,52.25,5,2.81,12,6.74,0,178,0,0.00,100,0,11,16,178,8.99
114969,881,2729,State-funded primary,138,61,77,44.20,55.80,3,2.17,2,1.45,0,138,0,0.00,100,0,17,17,138,12.32
114970,881,2730,State-funded primary,90,46,44,51.11,48.89,2,2.22,15,16.67,1,89,0,1.10,98.9,0,1,1,90,1.11
114972,881,2733,State-funded primary,268,139,129,51.87,48.13,0,0.00,41,15.30,33,235,0,12.30,87.7,0,40,44,268,16.42
114974,881,2737,State-funded primary,174,80,94,45.98,54.02,3,1.72,4,2.30,1,173,0,0.60,99.4,0,21,25,174,14.37
114975,881,2740,State-funded primary,205,94,111,45.85,54.15,5,2.44,10,4.88,5,200,0,2.40,97.6,0,25,25,182,13.74
114978,881,2747,State-funded primary,246,112,134,45.53,54.47,28,11.38,30,12.20,24,217,5,9.80,88.2,2,21,22,217,10.14
114979,881,2750,State-funded primary,80,33,47,41.25,58.75,0,0.00,7,8.75,1,79,0,1.30,98.8,0,4,6,80,7.50
114980,881,2751,State-funded primary,201,99,102,49.25,50.75,4,1.99,12,5.97,7,194,0,3.50,96.5,0,39,44,180,24.44
114984,881,2759,State-funded primary,340,166,174,48.82,51.18,12,3.53,38,11.18,31,309,0,9.10,90.9,0,104,114,340,33.53
114985,881,2760,State-funded primary,183,83,100,45.36,54.64,7,3.83,19,10.38,9,174,0,4.90,95.1,0,36,37,183,20.22
114988,881,2767,State-funded primary,584,279,305,47.77,52.23,14,2.40,71,12.16,33,550,1,5.70,94.2,0.2,46,50,584,8.56
114989,881,2769,State-funded primary,293,136,157,46.42,53.58,5,1.71,16,5.46,40,253,0,13.70,86.3,0,73,73,239,30.54
114990,881,2770,State-funded primary,83,32,51,38.55,61.45,1,1.20,14,16.87,6,77,0,7.20,92.8,0,8,10,83,12.05
114992,881,2779,State-funded primary,257,130,127,50.58,49.42,2,0.78,22,8.56,4,252,1,1.60,98.1,0.4,18,18,257,7.00
114996,881,2789,State-funded primary,208,105,103,50.48,49.52,9,4.33,14,6.73,19,189,0,9.10,90.9,0,30,30,208,14.42
114999,881,2798,State-funded primary,417,210,207,50.36,49.64,9,2.16,65,15.59,7,410,0,1.70,98.3,0,111,127,417,30.46
115000,881,2799,State-funded primary,188,81,107,43.09,56.91,4,2.13,37,19.68,1,187,0,0.50,99.5,0,12,15,188,7.98
115012,881,2821,State-funded primary,422,211,211,50.00,50.00,10,2.37,38,9.00,2,420,0,0.50,99.5,0,37,39,422,9.24
115018,881,2838,State-funded primary,280,116,164,41.43,58.57,7,2.50,34,12.14,62,218,0,22.10,77.9,0,80,96,255,37.65
115027,881,2879,State-funded primary,601,295,306,49.08,50.92,14,2.33,75,12.48,120,480,1,20.00,79.9,0.2,160,178,601,29.62
115039,881,2911,State-funded primary,217,109,108,50.23,49.77,3,1.38,17,7.83,10,207,0,4.60,95.4,0,31,29,175,16.57
115041,881,2918,State-funded primary,214,102,112,47.66,52.34,4,1.87,32,14.95,20,194,0,9.30,90.7,0,41,48,214,22.43
115042,881,2919,State-funded primary,313,153,160,48.88,51.12,10,3.19,45,14.38,19,294,0,6.10,93.9,0,38,48,313,15.34
115047,881,2950,State-funded primary,239,124,115,51.88,48.12,5,2.09,39,16.32,6,232,1,2.50,97.1,0.4,36,42,239,17.57
115062,881,2998,State-funded primary,322,151,171,46.89,53.11,14,4.35,37,11.49,20,301,1,6.20,93.5,0.3,112,127,299,42.47
115064,881,3001,State-funded primary,209,99,110,47.37,52.63,3,1.44,62,29.67,29,180,0,13.90,86.1,0,43,50,209,23.92
115065,881,3003,State-funded primary,212,101,111,47.64,52.36,4,1.89,17,8.02,22,190,0,10.40,89.6,0,30,33,212,15.57
115066,881,3006,State-funded primary,206,100,106,48.54,51.46,7,3.40,33,16.02,2,203,1,1.00,98.5,0.5,36,40,206,19.42
115067,881,3008,State-funded primary,76,40,36,52.63,47.37,1,1.32,14,18.42,0,76,0,0.00,100,0,11,11,76,14.47
115068,881,3009,State-funded primary,97,42,55,43.30,56.70,1,1.03,15,15.46,0,97,0,0.00,100,0,7,7,97,7.22
115070,881,3013,State-funded primary,216,102,114,47.22,52.78,8,3.70,29,13.43,11,198,7,5.10,91.7,3.2,34,39,216,18.06
115071,881,3015,State-funded primary,74,37,37,50.00,50.00,1,1.35,4,5.41,4,70,0,5.40,94.6,0,10,11,74,14.86
115072,881,3018,State-funded primary,204,86,118,42.16,57.84,2,0.98,19,9.31,3,201,0,1.50,98.5,0,15,16,204,7.84
115073,881,3019,State-funded primary,96,47,49,48.96,51.04,0,0.00,9,9.38,0,96,0,0.00,100,0,3,6,96,6.25
115074,881,3020,State-funded primary,209,97,112,46.41,53.59,4,1.91,18,8.61,3,206,0,1.40,98.6,0,3,4,209,1.91
115075,881,3021,State-funded primary,101,54,47,53.47,46.53,0,0.00,20,19.80,6,95,0,5.90,94.1,0,21,24,101,23.76
115076,881,3022,State-funded primary,209,96,113,45.93,54.07,1,0.48,18,8.61,2,207,0,1.00,99,0,20,23,209,11.00
115077,881,3023,State-funded primary,225,116,109,51.56,48.44,4,1.78,39,17.33,7,216,2,3.10,96,0.9,59,63,225,28.00
115078,881,3024,State-funded primary,120,56,64,46.67,53.33,5,4.17,8,6.67,2,118,0,1.70,98.3,0,1,1,120,0.83
115079,881,3025,State-funded primary,77,36,41,46.75,53.25,2,2.60,14,18.18,2,75,0,2.60,97.4,0,16,16,77,20.78
115080,881,3026,State-funded primary,206,112,94,54.37,45.63,8,3.88,16,7.77,0,206,0,0.00,100,0,17,18,206,8.74
115081,881,3027,State-funded primary,141,59,82,41.84,58.16,2,1.42,20,14.18,4,137,0,2.80,97.2,0,11,12,141,8.51
115082,881,3028,State-funded primary,232,112,120,48.28,51.72,9,3.88,22,9.48,2,230,0,0.90,99.1,0,18,20,232,8.62
115083,881,3029,State-funded primary,414,195,219,47.10,52.90,10,2.42,33,7.97,0,414,0,0.00,100,0,21,22,414,5.31
115084,881,3030,State-funded primary,113,54,59,47.79,52.21,2,1.77,5,4.42,2,111,0,1.80,98.2,0,10,11,113,9.73
115085,881,3032,State-funded primary,116,66,50,56.90,43.10,2,1.72,14,12.07,1,115,0,0.90,99.1,0,5,6,116,5.17
115088,881,3040,State-funded primary,192,100,92,52.08,47.92,5,2.60,39,20.31,15,177,0,7.80,92.2,0,64,67,192,34.90
115090,881,3102,State-funded primary,143,75,68,52.45,47.55,4,2.80,11,7.69,0,143,0,0.00,100,0,5,7,143,4.90
115091,881,3103,State-funded primary,113,61,52,53.98,46.02,3,2.65,10,8.85,2,111,0,1.80,98.2,0,9,9,113,7.96
115095,881,3123,State-funded primary,195,112,83,57.44,42.56,2,1.03,19,9.74,6,189,0,3.10,96.9,0,47,47,195,24.10
115099,881,3131,State-funded primary,103,61,42,59.22,40.78,4,3.88,23,22.33,2,101,0,1.90,98.1,0,20,21,103,20.39
115102,881,5279,State-funded primary,195,87,108,44.62,55.38,5,2.56,34,17.44,5,190,0,2.60,97.4,0,34,38,195,19.49
115103,881,3201,State-funded primary,313,180,133,57.51,42.49,6,1.92,43,13.74,7,306,0,2.20,97.8,0,85,91,313,29.07
115108,881,3209,State-funded primary,314,148,166,47.13,52.87,10,3.18,17,5.41,1,313,0,0.30,99.7,0,42,48,274,17.52
115110,881,3212,State-funded primary,61,26,35,42.62,57.38,1,1.64,8,13.11,0,61,0,0.00,100,0,5,5,61,8.20
115111,881,3213,State-funded primary,100,45,55,45.00,55.00,3,3.00,19,19.00,1,99,0,1.00,99,0,8,8,100,8.00
115112,881,3214,State-funded primary,220,106,114,48.18,51.82,3,1.36,27,12.27,4,216,0,1.80,98.2,0,34,36,220,16.36
115113,881,3215,State-funded primary,118,60,58,50.85,49.15,2,1.69,13,11.02,0,118,0,0.00,100,0,12,13,118,11.02
115114,881,3217,State-funded primary,167,76,91,45.51,54.49,1,0.60,25,14.97,9,158,0,5.40,94.6,0,25,27,167,16.17
115119,881,3224,State-funded primary,217,109,108,50.23,49.77,2,0.92,18,8.29,2,215,0,0.90,99.1,0,20,23,217,10.60
115120,881,3225,State-funded primary,204,110,94,53.92,46.08,1,0.49,14,6.86,6,198,0,2.90,97.1,0,14,15,204,7.35
115123,881,3235,State-funded primary,113,43,70,38.05,61.95,2,1.77,14,12.39,0,113,0,0.00,100,0,26,33,113,29.20
115125,881,3238,State-funded primary,97,45,52,46.39,53.61,3,3.09,9,9.28,1,96,0,1.00,99,0,23,25,97,25.77
115126,881,3239,State-funded primary,85,39,46,45.88,54.12,0,0.00,10,11.76,3,82,0,3.50,96.5,0,6,6,85,7.06
115127,881,3241,State-funded primary,101,52,49,51.49,48.51,2,1.98,12,11.88,0,101,0,0.00,100,0,11,11,101,10.89
115129,881,3244,State-funded primary,330,155,175,46.97,53.03,4,1.21,43,13.03,5,325,0,1.50,98.5,0,37,42,330,12.73
115130,881,3247,State-funded primary,105,54,51,51.43,48.57,0,0.00,16,15.24,1,104,0,1.00,99,0,1,2,105,1.90
115137,881,3308,State-funded primary,76,45,31,59.21,40.79,2,2.63,14,18.42,1,75,0,1.30,98.7,0,11,11,76,14.47
115138,881,3309,State-funded primary,143,64,79,44.76,55.24,1,0.70,24,16.78,1,142,0,0.70,99.3,0,16,19,143,13.29
115139,881,3310,State-funded primary,93,43,50,46.24,53.76,0,0.00,10,10.75,8,85,0,8.60,91.4,0,20,23,93,24.73
115141,881,3314,State-funded primary,111,45,66,40.54,59.46,1,0.90,13,11.71,5,106,0,4.50,95.5,0,22,23,111,20.72
115144,881,3324,State-funded primary,191,90,101,47.12,52.88,4,2.09,36,18.85,1,190,0,0.50,99.5,0,34,37,191,19.37
115145,882,3325,State-funded primary,669,337,332,50.37,49.63,10,1.49,88,13.15,134,534,1,20.00,79.8,0.1,217,231,669,34.53
115151,881,3402,State-funded primary,210,101,109,48.10,51.90,12,5.71,29,13.81,8,198,4,3.80,94.3,1.9,14,16,210,7.62
115154,881,3422,State-funded primary,199,81,118,40.70,59.30,3,1.51,27,13.57,4,193,2,2.00,97,1,26,27,199,13.57
115155,881,3430,State-funded primary,210,117,93,55.71,44.29,6,2.86,30,14.29,17,193,0,8.10,91.9,0,30,39,210,18.57
115156,881,3431,State-funded primary,240,118,122,49.17,50.83,3,1.25,20,8.33,71,169,0,29.60,70.4,0,28,49,240,20.42
115157,881,3440,State-funded primary,410,183,227,44.63,55.37,14,3.41,59,14.39,24,386,0,5.90,94.1,0,47,49,410,11.95
115159,881,3450,State-funded primary,212,99,113,46.70,53.30,6,2.83,20,9.43,2,210,0,0.90,99.1,0,35,42,212,19.81
115160,881,3451,State-funded primary,186,101,85,54.30,45.70,20,10.75,41,22.04,50,135,1,26.90,72.6,0.5,22,22,186,11.83
115164,881,3462,State-funded primary,400,213,187,53.25,46.75,13,3.25,11,2.75,8,392,0,2.00,98,0,8,10,400,2.50
115166,881,3470,State-funded primary,103,50,53,48.54,51.46,1,0.97,14,13.59,0,103,0,0.00,100,0,16,17,103,16.50
115170,881,3501,State-funded primary,202,89,113,44.06,55.94,6,2.97,31,15.35,5,197,0,2.50,97.5,0,39,40,202,19.80
115175,881,3530,State-funded primary,201,93,108,46.27,53.73,8,3.98,25,12.44,34,167,0,16.90,83.1,0,30,32,201,15.92
115177,881,3570,State-funded primary,152,74,78,48.68,51.32,12,7.89,20,13.16,0,152,0,0.00,100,0,16,19,152,12.50
115178,881,3580,State-funded primary,63,30,33,47.62,52.38,2,3.17,23,36.51,1,62,0,1.60,98.4,0,5,5,63,7.94
115179,881,3592,State-funded primary,308,143,165,46.43,53.57,19,6.17,39,12.66,32,276,0,10.40,89.6,0,45,49,308,15.91
115182,881,3610,State-funded primary,130,74,56,56.92,43.08,0,0.00,17,13.08,4,125,1,3.10,96.2,0.8,3,6,130,4.62
115183,881,3612,State-funded primary,208,103,105,49.52,50.48,4,1.92,10,4.81,14,194,0,6.70,93.3,0,16,17,208,8.17
115184,881,3622,State-funded primary,209,103,106,49.28,50.72,8,3.83,20,9.57,20,189,0,9.60,90.4,0,34,34,209,16.27
