"Year","Difference between predicted and achieved SQA advanced higher points","Ethnic group","Main scheme applicant","Main scheme application","Applicants","Accepted applicants","Acceptance rate","Applicants with no applications"
"2021","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","20","15","0.727","0"
"2022","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","25","0.767","0"
"2023","All","Unknown or Prefer Not To Say","Main scheme applicant","Main scheme application","30","25","0.857","0"
"2010","0 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","0 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","0 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2015","0 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2016","0 points","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2017","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2018","0 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2019","0 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","0 points","All","Main scheme applicant","Not main scheme application","30","25","0.867","0"
"2021","0 points","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2022","0 points","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2023","0 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2011","1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2022","2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-1 points","All","Main scheme applicant","Not main scheme application","5","0"," ","0"
"2012","-1 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2013","-1 points","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2014","-1 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-1 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-1 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.75","0"
"2018","-1 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","-1 points","All","Main scheme applicant","Not main scheme application","15","15","1","0"
"2020","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2021","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2022","-1 points","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2023","-1 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-2 points","All","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2013","-2 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-2 points","All","Main scheme applicant","Not main scheme application","15","10","0.706","0"
"2015","-2 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-2 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-2 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-2 points","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2021","-2 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2022","-2 points","All","Main scheme applicant","Not main scheme application","20","10","0.611","0"
"2023","-2 points","All","Main scheme applicant","Not main scheme application","10","10","0.909","0"
"2010","-3 points","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2011","-3 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2012","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2013","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-3 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","-3 points","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2016","-3 points","All","Main scheme applicant","Not main scheme application","15","15","0.765","0"
"2017","-3 points","All","Main scheme applicant","Not main scheme application","15","15","0.933","0"
"2018","-3 points","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2019","-3 points","All","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2020","-3 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2021","-3 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-3 points","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2023","-3 points","All","Main scheme applicant","Not main scheme application","15","10","0.923","0"
"2010","-4 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2011","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-4 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","-4 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2014","-4 points","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2015","-4 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2016","-4 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2017","-4 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-4 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2020","-4 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","-4 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","-4 points","All","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2023","-4 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2010","-5 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2011","-5 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-5 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2013","-5 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2014","-5 points","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2015","-5 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2016","-5 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-5 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2018","-5 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2019","-5 points","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2020","-5 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2021","-5 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-5 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","-5 points","All","Main scheme applicant","Not main scheme application","15","15","0.929","0"
"2010","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2011","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2012","-6 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2013","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2014","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2015","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2016","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2017","-6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2018","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2019","-6 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2020","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2022","-6 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2023","-6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2010","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","10","1","0"
"2011","Less than -6 points","All","Main scheme applicant","Not main scheme application","15","10","0.8","0"
"2012","Less than -6 points","All","Main scheme applicant","Not main scheme application","15","10","0.857","0"
"2013","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","10","0.833","0"
"2014","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2015","Less than -6 points","All","Main scheme applicant","Not main scheme application","15","10"," ","0"
"2016","Less than -6 points","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2017","Less than -6 points","All","Main scheme applicant","Not main scheme application","20","15","0.682","0"
"2018","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","10"," ","0"
"2019","Less than -6 points","All","Main scheme applicant","Not main scheme application","15","10","0.769","0"
"2020","Less than -6 points","All","Main scheme applicant","Not main scheme application","5","5"," ","0"
"2021","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","5"," ","0"
"2022","Less than -6 points","All","Main scheme applicant","Not main scheme application","15","10","0.733","0"
"2023","Less than -6 points","All","Main scheme applicant","Not main scheme application","10","10","0.917","0"
"2010","0 points","All","Main scheme applicant","Main scheme application","475","440","0.926","0"
"2011","0 points","All","Main scheme applicant","Main scheme application","505","470","0.929","0"
"2012","0 points","All","Main scheme applicant","Main scheme application","505","455","0.901","0"
"2013","0 points","All","Main scheme applicant","Main scheme application","610","555","0.908","0"
"2014","0 points","All","Main scheme applicant","Main scheme application","555","515","0.923","0"
"2015","0 points","All","Main scheme applicant","Main scheme application","615","560","0.915","0"
"2016","0 points","All","Main scheme applicant","Main scheme application","685","620","0.905","0"
"2017","0 points","All","Main scheme applicant","Main scheme application","650","605","0.926","0"
"2018","0 points","All","Main scheme applicant","Main scheme application","680","635","0.931","0"
"2019","0 points","All","Main scheme applicant","Main scheme application","660","625","0.9470000000000001","0"
"2020","0 points","All","Main scheme applicant","Main scheme application","1040","940","0.907","0"
"2021","0 points","All","Main scheme applicant","Main scheme application","1265","1160","0.919","0"
"2022","0 points","All","Main scheme applicant","Main scheme application","870","800","0.923","0"
"2023","0 points","All","Main scheme applicant","Main scheme application","850","800","0.9420000000000001","0"
"2010","1 points","All","Main scheme applicant","Main scheme application","85","75","0.916","0"
"2011","1 points","All","Main scheme applicant","Main scheme application","80","70","0.887","0"
"2012","1 points","All","Main scheme applicant","Main scheme application","75","65","0.88","0"
"2013","1 points","All","Main scheme applicant","Main scheme application","95","85","0.935","0"
"2014","1 points","All","Main scheme applicant","Main scheme application","70","65","0.928","0"
"2015","1 points","All","Main scheme applicant","Main scheme application","75","70","0.986","0"
"2016","1 points","All","Main scheme applicant","Main scheme application","95","90","0.9470000000000001","0"
"2017","1 points","All","Main scheme applicant","Main scheme application","60","50","0.864","0"
"2018","1 points","All","Main scheme applicant","Main scheme application","80","65","0.859","0"
"2019","1 points","All","Main scheme applicant","Main scheme application","70","65","0.9440000000000001","0"
"2020","1 points","All","Main scheme applicant","Main scheme application","135","120","0.891","0"
"2021","1 points","All","Main scheme applicant","Main scheme application","150","130","0.867","0"
"2022","1 points","All","Main scheme applicant","Main scheme application","70","70","0.972","0"
"2023","1 points","All","Main scheme applicant","Main scheme application","70","60","0.873","0"
"2010","2 points","All","Main scheme applicant","Main scheme application","35","35","0.9440000000000001","0"
"2011","2 points","All","Main scheme applicant","Main scheme application","25","25","0.889","0"
"2012","2 points","All","Main scheme applicant","Main scheme application","20","20","0.9","0"
"2013","2 points","All","Main scheme applicant","Main scheme application","30","30","0.903","0"
"2014","2 points","All","Main scheme applicant","Main scheme application","25","25","1","0"
"2015","2 points","All","Main scheme applicant","Main scheme application","25","20","0.875","0"
"2016","2 points","All","Main scheme applicant","Main scheme application","25","20","0.846","0"
"2017","2 points","All","Main scheme applicant","Main scheme application","20","15","0.895","0"
"2018","2 points","All","Main scheme applicant","Main scheme application","15","15","0.8130000000000001","0"
"2019","2 points","All","Main scheme applicant","Main scheme application","20","15","0.833","0"
"2020","2 points","All","Main scheme applicant","Main scheme application","35","35","1","0"
"2021","2 points","All","Main scheme applicant","Main scheme application","35","25","0.794","0"
"2022","2 points","All","Main scheme applicant","Main scheme application","30","25","0.893","0"
"2023","2 points","All","Main scheme applicant","Main scheme application","20","15","0.778","0"
"2010","3 points","All","Main scheme applicant","Main scheme application","5","0"," ","0"
"2011","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2013","3 points","All","Main scheme applicant","Main scheme application","10","10"," ","0"
"2014","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2015","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2016","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2017","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2019","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2020","3 points","All","Main scheme applicant","Main scheme application","15","15","1","0"
"2021","3 points","All","Main scheme applicant","Main scheme application","10","10","0.833","0"
"2022","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2023","3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2011","More than 3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2012","More than 3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2014","More than 3 points","All","Main scheme applicant","Main scheme application","5","5"," ","0"
"2010","-1 points","All","Main scheme applicant","Main scheme application","265","240","0.906","0"
"2011","-1 points","All","Main scheme applicant","Main scheme application","325","290","0.89","0"
"2012","-1 points","All","Main scheme applicant","Main scheme application","310","265","0.861","0"
"2013","-1 points","All","Main scheme applicant","Main scheme application","340","295","0.87","0"
"2014","-1 points","All","Main scheme applicant","Main scheme application","325","300","0.914","0"
"2015","-1 points","All","Main scheme applicant","Main scheme application","365","325","0.883","0"
"2016","-1 points","All","Main scheme applicant","Main scheme application","350","315","0.899","0"
"2017","-1 points","All","Main scheme applicant","Main scheme application","380","330","0.871","0"
"2018","-1 points","All","Main scheme applicant","Main scheme application","375","330","0.89","0"
"2019","-1 points","All","Main scheme applicant","Main scheme application","340","305","0.894","0"
"2020","-1 points","All","Main scheme applicant","Main scheme application","365","325","0.895","0"
"2021","-1 points","All","Main scheme applicant","Main scheme application","390","345","0.889","0"
"2022","-1 points","All","Main scheme applicant","Main scheme application","430","380","0.886","0"
"2023","-1 points","All","Main scheme applicant","Main scheme application","440","415","0.937","0"
"2010","-2 points","All","Main scheme applicant","Main scheme application","225","200","0.89","0"
"2011","-2 points","All","Main scheme applicant","Main scheme application","285","260","0.908","0"
"2012","-2 points","All","Main scheme applicant","Main scheme application","285","245","0.857","0"
"2013","-2 points","All","Main scheme applicant","Main scheme application","300","270","0.906","0"
"2014","-2 points","All","Main scheme applicant","Main scheme application","285","240","0.839","0"
"2015","-2 points","All","Main scheme applicant","Main scheme application","325","290","0.892","0"
"2016","-2 points","All","Main scheme applicant","Main scheme application","295","260","0.891","0"
"2017","-2 points","All","Main scheme applicant","Main scheme application","285","260","0.909","0"
"2018","-2 points","All","Main scheme applicant","Main scheme application","305","280","0.909","0"
"2019","-2 points","All","Main scheme applicant","Main scheme application","285","260","0.899","0"
"2020","-2 points","All","Main scheme applicant","Main scheme application","245","220","0.887","0"
"2021","-2 points","All","Main scheme applicant","Main scheme application","245","215","0.878","0"
"2022","-2 points","All","Main scheme applicant","Main scheme application","355","305","0.861","0"
"2023","-2 points","All","Main scheme applicant","Main scheme application","430","400","0.93","0"
"2010","-3 points","All","Main scheme applicant","Main scheme application","230","195","0.84","0"
"2011","-3 points","All","Main scheme applicant","Main scheme application","230","210","0.905","0"
"2012","-3 points","All","Main scheme applicant","Main scheme application","200","175","0.884","0"
"2013","-3 points","All","Main scheme applicant","Main scheme application","215","195","0.907","0"
"2014","-3 points","All","Main scheme applicant","Main scheme application","260","235","0.907","0"
"2015","-3 points","All","Main scheme applicant","Main scheme application","245","210","0.849","0"
"2016","-3 points","All","Main scheme applicant","Main scheme application","225","190","0.837","0"
"2017","-3 points","All","Main scheme applicant","Main scheme application","260","220","0.857","0"
"2018","-3 points","All","Main scheme applicant","Main scheme application","245","205","0.838","0"
"2019","-3 points","All","Main scheme applicant","Main scheme application","230","200","0.882","0"
"2020","-3 points","All","Main scheme applicant","Main scheme application","170","140","0.835","0"
"2021","-3 points","All","Main scheme applicant","Main scheme application","150","130","0.862","0"
"2022","-3 points","All","Main scheme applicant","Main scheme application","290","250","0.856","0"
"2023","-3 points","All","Main scheme applicant","Main scheme application","310","270","0.871","0"
"2010","-4 points","All","Main scheme applicant","Main scheme application","195","175","0.883","0"
"2011","-4 points","All","Main scheme applicant","Main scheme application","215","185","0.869","0"
"2012","-4 points","All","Main scheme applicant","Main scheme application","215","185","0.856","0"
"2013","-4 points","All","Main scheme applicant","Main scheme application","185","165","0.882","0"
"2014","-4 points","All","Main scheme applicant","Main scheme application","205","180","0.87","0"
"2015","-4 points","All","Main scheme applicant","Main scheme application","215","190","0.87","0"
"2016","-4 points","All","Main scheme applicant","Main scheme application","200","170","0.864","0"
"2017","-4 points","All","Main scheme applicant","Main scheme application","180","155","0.863","0"
"2018","-4 points","All","Main scheme applicant","Main scheme application","205","180","0.888","0"
"2019","-4 points","All","Main scheme applicant","Main scheme application","200","175","0.866","0"
"2020","-4 points","All","Main scheme applicant","Main scheme application","125","105","0.847","0"
"2021","-4 points","All","Main scheme applicant","Main scheme application","135","120","0.881","0"
"2022","-4 points","All","Main scheme applicant","Main scheme application","230","200","0.862","0"
"2023","-4 points","All","Main scheme applicant","Main scheme application","295","270","0.909","0"
"2010","-5 points","All","Main scheme applicant","Main scheme application","135","120","0.875","0"
"2011","-5 points","All","Main scheme applicant","Main scheme application","120","110","0.885","0"
"2012","-5 points","All","Main scheme applicant","Main scheme application","145","110","0.783","0"
"2013","-5 points","All","Main scheme applicant","Main scheme application","175","150","0.863","0"
"2014","-5 points","All","Main scheme applicant","Main scheme application","145","120","0.808","0"
"2015","-5 points","All","Main scheme applicant","Main scheme application","165","140","0.86","0"
"2016","-5 points","All","Main scheme applicant","Main scheme application","135","120","0.904","0"
"2017","-5 points","All","Main scheme applicant","Main scheme application","155","140","0.896","0"
"2018","-5 points","All","Main scheme applicant","Main scheme application","160","135","0.856","0"
"2019","-5 points","All","Main scheme applicant","Main scheme application","165","145","0.862","0"
"2020","-5 points","All","Main scheme applicant","Main scheme application","75","60","0.784","0"
"2021","-5 points","All","Main scheme applicant","Main scheme application","95","80","0.842","0"
"2022","-5 points","All","Main scheme applicant","Main scheme application","190","165","0.858","0"
"2023","-5 points","All","Main scheme applicant","Main scheme application","205","180","0.882","0"
"2010","-6 points","All","Main scheme applicant","Main scheme application","100","85","0.85","0"
"2011","-6 points","All","Main scheme applicant","Main scheme application","110","90","0.8150000000000001","0"
"2012","-6 points","All","Main scheme applicant","Main scheme application","125","110","0.85","0"
"2013","-6 points","All","Main scheme applicant","Main scheme application","100","85","0.85","0"
"2014","-6 points","All","Main scheme applicant","Main scheme application","105","85","0.811","0"
"2015","-6 points","All","Main scheme applicant","Main scheme application","110","90","0.811","0"
"2016","-6 points","All","Main scheme applicant","Main scheme application","110","95","0.845","0"
"2017","-6 points","All","Main scheme applicant","Main scheme application","100","85","0.851","0"
"2018","-6 points","All","Main scheme applicant","Main scheme application","105","90","0.856","0"
"2019","-6 points","All","Main scheme applicant","Main scheme application","95","75","0.794","0"
"2020","-6 points","All","Main scheme applicant","Main scheme application","55","45","0.868","0"
"2021","-6 points","All","Main scheme applicant","Main scheme application","60","50","0.85","0"
"2022","-6 points","All","Main scheme applicant","Main scheme application","125","105","0.839","0"
"2023","-6 points","All","Main scheme applicant","Main scheme application","125","115","0.913","0"
"2010","Less than -6 points","All","Main scheme applicant","Main scheme application","220","190","0.855","0"
"2011","Less than -6 points","All","Main scheme applicant","Main scheme application","190","155","0.8250000000000001","0"
"2012","Less than -6 points","All","Main scheme applicant","Main scheme application","195","160","0.8140000000000001","0"
"2013","Less than -6 points","All","Main scheme applicant","Main scheme application","215","185","0.848","0"
"2014","Less than -6 points","All","Main scheme applicant","Main scheme application","220","185","0.85","0"
"2015","Less than -6 points","All","Main scheme applicant","Main scheme application","215","170","0.803","0"
"2016","Less than -6 points","All","Main scheme applicant","Main scheme application","210","175","0.833","0"
"2017","Less than -6 points","All","Main scheme applicant","Main scheme application","230","180","0.782","0"
"2018","Less than -6 points","All","Main scheme applicant","Main scheme application","235","205","0.871","0"
"2019","Less than -6 points","All","Main scheme applicant","Main scheme application","215","165","0.78","0"
"2020","Less than -6 points","All","Main scheme applicant","Main scheme application","80","65","0.8250000000000001","0"
"2021","Less than -6 points","All","Main scheme applicant","Main scheme application","165","135","0.84","0"
"2022","Less than -6 points","All","Main scheme applicant","Main scheme application","230","200","0.873","0"
"2023","Less than -6 points","All","Main scheme applicant","Main scheme application","220","195","0.882","0"
"2010","All","All","Main scheme applicant","Not main scheme application","55","55","0.93","0"
"2011","All","All","Main scheme applicant","Not main scheme application","60","50","0.774","0"
"2012","All","All","Main scheme applicant","Not main scheme application","85","70","0.845","0"
"2013","All","All","Main scheme applicant","Not main scheme application","70","65","0.903","0"
"2014","All","All","Main scheme applicant","Not main scheme application","85","70","0.81","0"
"2015","All","All","Main scheme applicant","Not main scheme application","80","70","0.841","0"
"2016","All","All","Main scheme applicant","Not main scheme application","80","65","0.8170000000000001","0"
"2017","All","All","Main scheme applicant","Not main scheme application","90","70","0.791","0"
"2018","All","All","Main scheme applicant","Not main scheme application","80","65","0.846","0"
"2019","All","All","Main scheme applicant","Not main scheme application","90","80","0.888","0"
"2020","All","All","Main scheme applicant","Not main scheme application","100","85","0.878","0"
"2021","All","All","Main scheme applicant","Not main scheme application","75","60","0.8160000000000001","0"
"2022","All","All","Main scheme applicant","Not main scheme application","105","85","0.8210000000000001","0"
"2023","All","All","Main scheme applicant","Not main scheme application","90","80","0.909","0"
"2010","All","All","Main scheme applicant","Main scheme application","1975","1755","0.889","0"
"2011","All","All","Main scheme applicant","Main scheme application","2095","1870","0.891","0"
"2012","All","All","Main scheme applicant","Main scheme application","2080","1795","0.862","0"
"2013","All","All","Main scheme applicant","Main scheme application","2275","2025","0.89","0"
"2014","All","All","Main scheme applicant","Main scheme application","2210","1955","0.885","0"
"2015","All","All","Main scheme applicant","Main scheme application","2360","2075","0.879","0"
"2016","All","All","Main scheme applicant","Main scheme application","2335","2065","0.884","0"
"2017","All","All","Main scheme applicant","Main scheme application","2325","2050","0.881","0"
"2018","All","All","Main scheme applicant","Main scheme application","2410","2145","0.891","0"
"2019","All","All","Main scheme applicant","Main scheme application","2290","2040","0.89","0"
"2020","All","All","Main scheme applicant","Main scheme application","2335","2075","0.888","0"
"2021","All","All","Main scheme applicant","Main scheme application","2700","2410","0.892","0"
"2022","All","All","Main scheme applicant","Main scheme application","2825","2505","0.887","0"
"2023","All","All","Main scheme applicant","Main scheme application","2975","2725","0.916","0"
"2010","0 points","White","All","Not main scheme application","5","5"," ","0"
"2011","0 points","White","All","Not main scheme application","10","5"," ","0"
"2012","0 points","White","All","Not main scheme application","5","5"," ","0"
"2013","0 points","White","All","Not main scheme application","5","5"," ","0"
"2014","0 points","White","All","Not main scheme application","5","5"," ","0"
"2015","0 points","White","All","Not main scheme application","10","10"," ","0"
"2016","0 points","White","All","Not main scheme application","15","15","1","0"
"2017","0 points","White","All","Not main scheme application","5","5"," ","0"
"2018","0 points","White","All","Not main scheme application","10","10"," ","0"
"2019","0 points","White","All","Not main scheme application","5","5"," ","0"
"2020","0 points","White","All","Not main scheme application","20","15","0.895","0"
"2021","0 points","White","All","Not main scheme application","10","5"," ","0"
"2022","0 points","White","All","Not main scheme application","5","5"," ","0"
"2023","0 points","White","All","Not main scheme application","10","10"," ","0"
"2011","1 points","White","All","Not main scheme application","5","5"," ","0"
"2010","-1 points","White","All","Not main scheme application","5","5"," ","0"
"2012","-1 points","White","All","Not main scheme application","10","10"," ","0"
"2013","-1 points","White","All","Not main scheme application","10","10","1","0"
"2014","-1 points","White","All","Not main scheme application","5","5"," ","0"
"2015","-1 points","White","All","Not main scheme application","10","10"," ","0"
"2016","-1 points","White","All","Not main scheme application","5","5"," ","0"
"2017","-1 points","White","All","Not main scheme application","15","10"," ","0"
"2018","-1 points","White","All","Not main scheme application","5","5"," ","0"
"2019","-1 points","White","All","Not main scheme application","10","10","1","0"
"2020","-1 points","White","All","Not main scheme application","10","5"," ","0"
"2021","-1 points","White","All","Not main scheme application","10","10"," ","0"
"2022","-1 points","White","All","Not main scheme application","5","5"," ","0"
"2023","-1 points","White","All","Not main scheme application","5","5"," ","0"
"2010","-2 points","White","All","Not main scheme application","5","5"," ","0"
"2011","-2 points","White","All","Not main scheme application","5","5"," ","0"
"2012","-2 points","White","All","Not main scheme application","10","10","0.917","0"
"2013","-2 points","White","All","Not main scheme application","10","5"," ","0"
"2014","-2 points","White","All","Not main scheme application","15","10","0.667","0"
"2015","-2 points","White","All","Not main scheme application","5","5"," ","0"
"2017","-2 points","White","All","Not main scheme application","5","5"," ","0"
"2018","-2 points","White","All","Not main scheme application","5","5"," ","0"
"2019","-2 points","White","All","Not main scheme application","5","5"," ","0"
"2020","-2 points","White","All","Not main scheme application","10","10","1","0"
"2021","-2 points","White","All","Not main scheme application","5","5"," ","0"
"2022","-2 points","White","All","Not main scheme application","10","10"," ","0"
"2023","-2 points","White","All","Not main scheme application","10","10"," ","0"
"2010","-3 points","White","All","Not main scheme application","10","10"," ","0"
"2011","-3 points","White","All","Not main scheme application","10","5"," ","0"
"2012","-3 points","White","All","Not main scheme application","5","5"," ","0"
"2013","-3 points","White","All","Not main scheme application","5","5"," ","0"
"2014","-3 points","White","All","Not main scheme application","10","5"," ","0"
"2015","-3 points","White","All","Not main scheme application","15","10","0.923","0"
"2016","-3 points","White","All","Not main scheme application","10","10"," ","0"
"2017","-3 points","White","All","Not main scheme application","10","10"," ","0"
"2018","-3 points","White","All","Not main scheme application","5","5"," ","0"
"2019","-3 points","White","All","Not main scheme application","10","10","0.833","0"
"2020","-3 points","White","All","Not main scheme application","10","10"," ","0"
"2021","-3 points","White","All","Not main scheme application","5","5"," ","0"
"2022","-3 points","White","All","Not main scheme application","5","5"," ","0"
"2023","-3 points","White","All","Not main scheme application","10","10"," ","0"
"2010","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2011","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2012","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2013","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2014","-4 points","White","All","Not main scheme application","10","10"," ","0"
"2015","-4 points","White","All","Not main scheme application","10","5"," ","0"
"2016","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2017","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2018","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2020","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2021","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2022","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2023","-4 points","White","All","Not main scheme application","5","5"," ","0"
"2010","-5 points","White","All","Not main scheme application","5","5"," ","0"
"2011","-5 points","White","All","Not main scheme application","5","5"," ","0"
"2012","-5 points","White","All","Not main scheme application","10","5"," ","0"
"2013","-5 points","White","All","Not main scheme application","5","5"," ","0"
"2014","-5 points","White","All","Not main scheme application","10","10","0.909","0"
"2015","-5 points","White","All","Not main scheme application","5","5"," ","0"
"2016","-5 points","White","All","Not main scheme application","5","5"," ","0"
"2018","-5 points","White","All","Not main scheme application","5","5"," ","0"
"2019","-5 points","White","All","Not main scheme application","10","10","0.909","0"
